Sec,N,mm/mm,mm,segments
485.48877,28039.166,0.0016791894,1.2001812,194
485.48975,28140.639,0.0016791894,1.2044524,194
485.49072,28239.127,0.0016894283,1.2001812,194
485.4917,28343.582,0.0016894283,1.2044524,194
485.49268,28427.146,0.0017099063,1.2001812,194
485.49365,28537.572,0.0017201452,1.2087235,194
485.49463,28624.123,0.0017406231,1.2087235,194
485.49561,28728.58,0.0017611011,1.2087235,194
485.49658,28824.084,0.0017611011,1.2129946,194
485.49756,28934.51,0.001781579,1.2129946,194
485.49854,29021.059,0.001781579,1.2129946,194
485.49951,29125.516,0.0018020569,1.2129946,194
485.50049,29215.049,0.0018327738,1.2172657,194
485.50146,29325.477,0.0018532517,1.2215369,194
485.50244,29417.994,0.0018634907,1.2172657,194
485.50342,29522.451,0.0018737296,1.2172657,194
485.50439,29606.016,0.0018942074,1.2258079,194
485.50537,29707.488,0.0018942074,1.2300791,194
485.50635,29797.023,0.0019146854,1.2258079,194
485.50732,29895.51,0.0019351633,1.2215369,194
485.5083,29988.029,0.0019351633,1.2300791,194
485.50928,30092.486,0.0019658802,1.2300791,194
485.51025,30179.035,0.0019863581,1.2343502,194
485.51123,30271.555,0.0019761191,1.2300791,194
485.51221,30364.072,0.002006836,1.2343502,194
485.51318,30450.623,0.0020273139,1.2386212,194
485.51416,30549.111,0.0020273139,1.2386212,194
485.51514,30641.631,0.0020682698,1.2386212,194
485.51611,30734.148,0.0020477918,1.2428924,194
485.51709,30814.73,0.0020682698,1.2471635,194
485.51807,30913.217,0.0020887477,1.2428924,194
485.51904,30999.768,0.0021092256,1.2471635,194
485.52002,31101.24,0.0021092256,1.2514346,194
485.521,31181.82,0.0021194646,1.2471635,194
485.52197,31280.309,0.0021194646,1.2471635,194
485.52295,31360.889,0.0021399425,1.2471635,194
485.52393,31462.361,0.0021501814,1.2557057,194
485.5249,31542.941,0.0021604204,1.2557057,194
485.52588,31644.414,0.0021706594,1.2557057,194
485.52686,31730.965,0.0021808983,1.2557057,194
485.52783,31826.467,0.0021808983,1.2599769,194
485.52881,31907.049,0.0021808983,1.2642479,194
485.52979,32008.521,0.0022116152,1.2599769,194
485.53076,32089.1,0.0022218542,1.2642479,194
485.53174,32193.559,0.0022218542,1.2642479,194
485.53271,32277.123,0.0022423321,1.268519,194
485.53369,32378.598,0.0022525711,1.2642479,194
485.53467,32465.145,0.0022832879,1.268519,194
485.53564,32560.65,0.0022832879,1.2727902,194
485.53662,32644.215,0.0023037659,1.2727902,194
485.5376,32736.732,0.0023037659,1.2727902,194
485.53857,32829.25,0.0023140048,1.2770612,194
485.53955,32924.754,0.0023140048,1.2770612,194
485.54053,32999.367,0.0023447217,1.2770612,194
485.5415,33103.824,0.0023651996,1.2813324,194
485.54248,33196.344,0.0023856775,1.2856035,194
485.54346,33285.879,0.0023959165,1.2813324,194
485.54443,33369.441,0.0024163944,1.2856035,194
485.54541,33458.977,0.0024368723,1.2856035,194
485.54639,33548.512,0.0024573503,1.2856035,194
485.54736,33638.047,0.0024573503,1.2856035,194
485.54834,33724.594,0.0024778282,1.2898746,194
485.54932,33811.145,0.0024880671,1.2941457,194
485.55029,33903.664,0.0025085451,1.2941457,194
485.55127,33987.227,0.0025085451,1.2984169,194
485.55225,34079.746,0.0025392619,1.2984169,194
485.55322,34151.375,0.0025392619,1.2984169,194
485.5542,34246.879,0.0025495009,1.2984169,194
485.55518,34324.473,0.0025699788,1.2984169,194
485.55615,34416.992,0.0025495009,1.3026879,194
485.55713,34497.574,0.0025802178,1.3026879,194
485.55811,34590.094,0.0025802178,1.3026879,194
485.55908,34667.691,0.0026109347,1.306959,194
485.56006,34763.195,0.0026109347,1.3112302,194
485.56104,34840.789,0.0025904567,1.306959,194
485.56201,34936.293,0.0026211736,1.306959,194
485.56299,35016.871,0.0026211736,1.306959,194
485.56396,35109.395,0.0026416515,1.306959,194
