strain,stress_MPa
1.0238871e-05,144.63085907184495
2.0477832e-05,145.45544528230346
5.1194711e-05,146.37427916418983
5.1194711e-05,147.2460010515137
8.1911588e-05,148.25906681662593
8.1911588e-05,149.248568690356
0.00011262847,150.30876223823262
0.00014334534,151.36895578610927
0.00014334534,152.49982521993056
0.00016382326,153.60713076236962
0.00016382326,154.80868397623652
0.00019454015,155.89242562729342
0.00018430119,156.88193539512446
0.00022525703,158.03635293212602
0.00024573496,159.12011037138484
0.00023549599,160.22743170202585
0.00024573496,161.26405346441933
0.00028669077,162.37137479506035
0.00031740766,163.36086088058846
0.0003071687,164.53887388537606
0.00033788558,165.55193965048832
0.00036860246,166.63568130154522
0.00037884142,167.6251910693762
0.0004095583,168.75605260909654
0.0004095583,169.69844248826413
0.00044027518,170.78219992752295
0.0004607531,171.7481615921737
0.00048123102,172.85546713461278
0.00050170894,173.77429312239815
0.00049146998,174.7873588875104
0.00053242582,175.80042465262264
0.0005631427,176.78995020865557
0.00058362063,177.68520441095782
0.00058362063,178.69828596427197
0.00060409855,179.64067584343957
0.00060409855,180.6537416085518
0.00061433751,181.5254556017747
0.00062457647,182.51495747550476
0.00063481543,183.36311547144643
0.00065529335,184.3526173451765
0.00067577127,185.34212711300748
0.00068601023,186.23741289171357
0.00068601023,187.22690687134266
0.00071672711,188.14574864732995
0.00070648815,189.11168662967782
0.00073720503,190.05409229704733
0.00073720503,190.99647428211395
0.00073720503,191.9153081640003
0.00077816087,192.88126982865103
0.00078839983,193.77652403095325
0.00080887775,194.7895897960655
0.00080887775,195.6613037892884
0.0008498336,196.62726545393915
0.0008498336,197.52254333854427
0.00089078944,198.46493321771186
0.00089078944,199.31308331955256
0.00091126736,200.3025930873836
0.00093174528,201.1036233005609
0.00096246216,202.1166890656731
0.00096246216,202.87059149608604
0.00099317904,203.86011705211897
0.00099317904,204.61401948253186
0.001003418,205.55640936169945
0.0010238959,206.35745536307869
0.0010341349,207.32339334542652
0.0010546128,208.12442355860384
0.0010750907,208.9725815545455
0.0010750907,209.84428765366746
0.0011058076,210.7395655382726
0.0011262855,211.49348375688743
0.0011467634,212.41230974467283
0.0011365245,213.26045195241258
0.0011672414,214.10860205425328
0.0011672414,214.88607627014937
